SURFACEFORM,TOKENURN,CTSURN,SENTENCEURN,SEQ,POS,HEAD,LEMMA
τηλουρὸν,urn:cite:fuSyntax:0085003tokens.2896877_4,urn:cts:greekLit:tlg0085.tlg003.fuSyn:1.4,urn:cite:fuSyntax:0085003sentences.2896877,4,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896877_6,τηλουρόσ
ἄβατον,urn:cite:fuSyntax:0085003tokens.2896877_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:2.5,urn:cite:fuSyntax:0085003sentences.2896877,12,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896877_14,ἄβατοσ
ὑψηλοκρήμνοις,urn:cite:fuSyntax:0085003tokens.2896878_16,urn:cts:greekLit:tlg0085.tlg003.fuSyn:5.1,urn:cite:fuSyntax:0085003sentences.2896878,31,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2896878_15,ὑψηλόκρημνοσ
λεωργὸν,urn:cite:fuSyntax:0085003tokens.2896878_18,urn:cts:greekLit:tlg0085.tlg003.fuSyn:5.3,urn:cite:fuSyntax:0085003sentences.2896878,33,a-s---fa-,urn:cite:fuSyntax:0085003tokens.2896878_19,λεωργόσ
ἀδαμαντίνων,urn:cite:fuSyntax:0085003tokens.2896878_20,urn:cts:greekLit:tlg0085.tlg003.fuSyn:6.1,urn:cite:fuSyntax:0085003sentences.2896878,35,a-p---mg-,urn:cite:fuSyntax:0085003tokens.2896878_21,ἀδαμάντινοσ
ἀρρήκτοις,urn:cite:fuSyntax:0085003tokens.2896878_23,urn:cts:greekLit:tlg0085.tlg003.fuSyn:6.4,urn:cite:fuSyntax:0085003sentences.2896878,38,a-p---fd-,urn:cite:fuSyntax:0085003tokens.2896878_24,ἄρρηκτοσ
σὸν,urn:cite:fuSyntax:0085003tokens.2896879_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:7.2,urn:cite:fuSyntax:0085003sentences.2896879,42,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896879_4,σόσ
παντέχνου,urn:cite:fuSyntax:0085003tokens.2896879_6,urn:cts:greekLit:tlg0085.tlg003.fuSyn:7.6,urn:cite:fuSyntax:0085003sentences.2896879,46,a-s---ng-,urn:cite:fuSyntax:0085003tokens.2896879_7,πάντεχνοσ
θνητοῖσι,urn:cite:fuSyntax:0085003tokens.2896879_10,urn:cts:greekLit:tlg0085.tlg003.fuSyn:8.1,urn:cite:fuSyntax:0085003sentences.2896879,50,a-p---md-,urn:cite:fuSyntax:0085003tokens.2896879_12,θνητόσ
φιλανθρώπου,urn:cite:fuSyntax:0085003tokens.2896880_18,urn:cts:greekLit:tlg0085.tlg003.fuSyn:11.3,urn:cite:fuSyntax:0085003sentences.2896880,71,a-s---mg-,urn:cite:fuSyntax:0085003tokens.2896880_21,φιλάνθρωποσ
κοὐδὲν,urn:cite:fuSyntax:0085003tokens.2896881_12,urn:cts:greekLit:tlg0085.tlg003.fuSyn:13.4,urn:cite:fuSyntax:0085003sentences.2896881,87,a-s---na-,urn:cite:fuSyntax:0085003tokens.2896881_0,οὐδείσ
ἄτολμός,urn:cite:fuSyntax:0085003tokens.2896882_3,urn:cts:greekLit:tlg0085.tlg003.fuSyn:14.3,urn:cite:fuSyntax:0085003sentences.2896882,93,a-s---mn-,urn:cite:fuSyntax:0085003tokens.2896882_4,ἄτολμοσ
συγγενῆ,urn:cite:fuSyntax:0085003tokens.2896882_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:14.5,urn:cite:fuSyntax:0085003sentences.2896882,95,a-s---ma-,urn:cite:fuSyntax:0085003tokens.2896882_6,συγγενήσ
δυσχειμέρῳ,urn:cite:fuSyntax:0085003tokens.2896882_11,urn:cts:greekLit:tlg0085.tlg003.fuSyn:15.5,urn:cite:fuSyntax:0085003sentences.2896882,101,a-s---fd-,urn:cite:fuSyntax:0085003tokens.2896882_9,δυσχείμεροσ
βαρύ,urn:cite:fuSyntax:0085003tokens.2896884_5,urn:cts:greekLit:tlg0085.tlg003.fuSyn:17.5,urn:cite:fuSyntax:0085003sentences.2896884,115,a-s---nn-,urn:cite:fuSyntax:0085003tokens.2896884_0,βαρύσ
ὀρθοβούλου,urn:cite:fuSyntax:0085003tokens.2896885_2,urn:cts:greekLit:tlg0085.tlg003.fuSyn:18.2,urn:cite:fuSyntax:0085003sentences.2896885,118,a-s---fg-,urn:cite:fuSyntax:0085003tokens.2896885_3,ὀρθόβουλοσ
