seq	citeUrn	ctsUrn	analysis	surfaceForm
1	urn:cite:fu:synTok_tlg0085_tlg003_fu.1	urn:cts:greekLit:tlg0085.tlg003.fu:1@Χθονὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.1	Χθονὸς
2	urn:cite:fu:synTok_tlg0085_tlg003_fu.2	urn:cts:greekLit:tlg0085.tlg003.fu:1@μὲν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.2	μὲν
3	urn:cite:fu:synTok_tlg0085_tlg003_fu.3	urn:cts:greekLit:tlg0085.tlg003.fu:1@ἐς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.3	ἐς
4	urn:cite:fu:synTok_tlg0085_tlg003_fu.4	urn:cts:greekLit:tlg0085.tlg003.fu:1@τηλουρὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.4	τηλουρὸν
5	urn:cite:fu:synTok_tlg0085_tlg003_fu.5	urn:cts:greekLit:tlg0085.tlg003.fu:1@ἥκομεν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.5	ἥκομεν
6	urn:cite:fu:synTok_tlg0085_tlg003_fu.6	urn:cts:greekLit:tlg0085.tlg003.fu:1@πέδον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.6	πέδον
7	urn:cite:fu:synTok_tlg0085_tlg003_fu.7	urn:cts:greekLit:tlg0085.tlg003.fu:1@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.7	,
8	urn:cite:fu:synTok_tlg0085_tlg003_fu.8	urn:cts:greekLit:tlg0085.tlg003.fu:2@Σκύθην[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.8	Σκύθην
9	urn:cite:fu:synTok_tlg0085_tlg003_fu.9	urn:cts:greekLit:tlg0085.tlg003.fu:2@ἐς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.9	ἐς
10	urn:cite:fu:synTok_tlg0085_tlg003_fu.10	urn:cts:greekLit:tlg0085.tlg003.fu:2@οἷμον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.10	οἷμον
11	urn:cite:fu:synTok_tlg0085_tlg003_fu.11	urn:cts:greekLit:tlg0085.tlg003.fu:2@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.11	,
12	urn:cite:fu:synTok_tlg0085_tlg003_fu.12	urn:cts:greekLit:tlg0085.tlg003.fu:2@ἄβατον[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.12	ἄβατον
13	urn:cite:fu:synTok_tlg0085_tlg003_fu.13	urn:cts:greekLit:tlg0085.tlg003.fu:2@εἰς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.13	εἰς
14	urn:cite:fu:synTok_tlg0085_tlg003_fu.14	urn:cts:greekLit:tlg0085.tlg003.fu:2@ἐρημίαν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.14	ἐρημίαν
15	urn:cite:fu:synTok_tlg0085_tlg003_fu.15	urn:cts:greekLit:tlg0085.tlg003.fu:2@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.15	.
16	urn:cite:fu:synTok_tlg0085_tlg003_fu.16	urn:cts:greekLit:tlg0085.tlg003.fu:3@Ἥφαιστε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.16	Ἥφαιστε
17	urn:cite:fu:synTok_tlg0085_tlg003_fu.17	urn:cts:greekLit:tlg0085.tlg003.fu:3@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.17	,
18	urn:cite:fu:synTok_tlg0085_tlg003_fu.18	urn:cts:greekLit:tlg0085.tlg003.fu:3@σοὶ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.18	σοὶ
19	urn:cite:fu:synTok_tlg0085_tlg003_fu.19	urn:cts:greekLit:tlg0085.tlg003.fu:3@δὲ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.19	δὲ
20	urn:cite:fu:synTok_tlg0085_tlg003_fu.20	urn:cts:greekLit:tlg0085.tlg003.fu:3@χρὴ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.20	χρὴ
21	urn:cite:fu:synTok_tlg0085_tlg003_fu.21	urn:cts:greekLit:tlg0085.tlg003.fu:3@μέλειν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.21	μέλειν
22	urn:cite:fu:synTok_tlg0085_tlg003_fu.22	urn:cts:greekLit:tlg0085.tlg003.fu:3@ἐπιστολὰς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.22	ἐπιστολὰς
23	urn:cite:fu:synTok_tlg0085_tlg003_fu.23	urn:cts:greekLit:tlg0085.tlg003.fu:4@ἅς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.23	ἅς
24	urn:cite:fu:synTok_tlg0085_tlg003_fu.24	urn:cts:greekLit:tlg0085.tlg003.fu:4@σοι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.24	σοι
25	urn:cite:fu:synTok_tlg0085_tlg003_fu.25	urn:cts:greekLit:tlg0085.tlg003.fu:4@πατὴρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.25	πατὴρ
26	urn:cite:fu:synTok_tlg0085_tlg003_fu.26	urn:cts:greekLit:tlg0085.tlg003.fu:4@ἐφεῖτο[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.26	ἐφεῖτο
27	urn:cite:fu:synTok_tlg0085_tlg003_fu.27	urn:cts:greekLit:tlg0085.tlg003.fu:4@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.27	,
28	urn:cite:fu:synTok_tlg0085_tlg003_fu.28	urn:cts:greekLit:tlg0085.tlg003.fu:4@τόνδε[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.28	τόνδε
29	urn:cite:fu:synTok_tlg0085_tlg003_fu.29	urn:cts:greekLit:tlg0085.tlg003.fu:4@πρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.29	πρὸς
30	urn:cite:fu:synTok_tlg0085_tlg003_fu.30	urn:cts:greekLit:tlg0085.tlg003.fu:4@πέτραις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.30	πέτραις
31	urn:cite:fu:synTok_tlg0085_tlg003_fu.31	urn:cts:greekLit:tlg0085.tlg003.fu:5@ὑψηλοκρήμνοις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.31	ὑψηλοκρήμνοις
32	urn:cite:fu:synTok_tlg0085_tlg003_fu.32	urn:cts:greekLit:tlg0085.tlg003.fu:5@τὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.32	τὸν
33	urn:cite:fu:synTok_tlg0085_tlg003_fu.33	urn:cts:greekLit:tlg0085.tlg003.fu:5@λεωργὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.33	λεωργὸν
34	urn:cite:fu:synTok_tlg0085_tlg003_fu.34	urn:cts:greekLit:tlg0085.tlg003.fu:5@ὀχμάσαι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.34	ὀχμάσαι
35	urn:cite:fu:synTok_tlg0085_tlg003_fu.35	urn:cts:greekLit:tlg0085.tlg003.fu:6@ἀδαμαντίνων[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.35	ἀδαμαντίνων
36	urn:cite:fu:synTok_tlg0085_tlg003_fu.36	urn:cts:greekLit:tlg0085.tlg003.fu:6@δεσμῶν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.36	δεσμῶν
37	urn:cite:fu:synTok_tlg0085_tlg003_fu.37	urn:cts:greekLit:tlg0085.tlg003.fu:6@ἐν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.37	ἐν
38	urn:cite:fu:synTok_tlg0085_tlg003_fu.38	urn:cts:greekLit:tlg0085.tlg003.fu:6@ἀρρήκτοις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.38	ἀρρήκτοις
39	urn:cite:fu:synTok_tlg0085_tlg003_fu.39	urn:cts:greekLit:tlg0085.tlg003.fu:6@πέδαις[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.39	πέδαις
40	urn:cite:fu:synTok_tlg0085_tlg003_fu.40	urn:cts:greekLit:tlg0085.tlg003.fu:6@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.40	.
41	urn:cite:fu:synTok_tlg0085_tlg003_fu.41	urn:cts:greekLit:tlg0085.tlg003.fu:7@τὸ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.41	τὸ
42	urn:cite:fu:synTok_tlg0085_tlg003_fu.42	urn:cts:greekLit:tlg0085.tlg003.fu:7@σὸν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.42	σὸν
43	urn:cite:fu:synTok_tlg0085_tlg003_fu.43	urn:cts:greekLit:tlg0085.tlg003.fu:7@γὰρ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.43	γὰρ
44	urn:cite:fu:synTok_tlg0085_tlg003_fu.44	urn:cts:greekLit:tlg0085.tlg003.fu:7@ἄνθος[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.44	ἄνθος
45	urn:cite:fu:synTok_tlg0085_tlg003_fu.45	urn:cts:greekLit:tlg0085.tlg003.fu:7@,[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.45	,
46	urn:cite:fu:synTok_tlg0085_tlg003_fu.46	urn:cts:greekLit:tlg0085.tlg003.fu:7@παντέχνου[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.46	παντέχνου
47	urn:cite:fu:synTok_tlg0085_tlg003_fu.47	urn:cts:greekLit:tlg0085.tlg003.fu:7@πυρὸς[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.47	πυρὸς
48	urn:cite:fu:synTok_tlg0085_tlg003_fu.48	urn:cts:greekLit:tlg0085.tlg003.fu:7@σέλας[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.48	σέλας
49	urn:cite:fu:synTok_tlg0085_tlg003_fu.49	urn:cts:greekLit:tlg0085.tlg003.fu:7@,[2]	urn:cite:fu:synTok_tlg0085_tlg003_fu.49	,
50	urn:cite:fu:synTok_tlg0085_tlg003_fu.50	urn:cts:greekLit:tlg0085.tlg003.fu:8@θνητοῖσι[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.50	θνητοῖσι
51	urn:cite:fu:synTok_tlg0085_tlg003_fu.51	urn:cts:greekLit:tlg0085.tlg003.fu:8@κλέψας[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.51	κλέψας
52	urn:cite:fu:synTok_tlg0085_tlg003_fu.52	urn:cts:greekLit:tlg0085.tlg003.fu:8@ὤπασεν[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.52	ὤπασεν
53	urn:cite:fu:synTok_tlg0085_tlg003_fu.53	urn:cts:greekLit:tlg0085.tlg003.fu:8@.[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.53	.
54	urn:cite:fu:synTok_tlg0085_tlg003_fu.54	urn:cts:greekLit:tlg0085.tlg003.fu:8@τοιᾶσδέ[1]	urn:cite:fu:synTok_tlg0085_tlg003_fu.54	τοιᾶσδέ
