SEQ	TOKENURN	POS	HEAD	LEMMA
1	urn:cite:fuSyntax:0085003tokens.2896877_1	n-s---fg-	urn:cite:fuSyntax:0085003tokens.2896877_6	χθών1
2	urn:cite:fuSyntax:0085003tokens.2896877_2	g--------	urn:cite:fuSyntax:0085003tokens.2896877_5	μέν1
3	urn:cite:fuSyntax:0085003tokens.2896877_3	r--------	urn:cite:fuSyntax:0085003tokens.2896877_11	εἰσ
4	urn:cite:fuSyntax:0085003tokens.2896877_4	a-s---na-	urn:cite:fuSyntax:0085003tokens.2896877_6	τηλουρόσ
5	urn:cite:fuSyntax:0085003tokens.2896877_5	v1ppia---	urn:cite:fuSyntax:0085003tokens.2896877_0	ἥκω1
6	urn:cite:fuSyntax:0085003tokens.2896877_6	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896877_3	πέδον1
7	urn:cite:fuSyntax:0085003tokens.2896877_7	u--------	urn:cite:fuSyntax:0085003tokens.2896877_11	ξομμα1
8	urn:cite:fuSyntax:0085003tokens.2896877_8	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896877_10	σκύθησ
9	urn:cite:fuSyntax:0085003tokens.2896877_9	r--------	urn:cite:fuSyntax:0085003tokens.2896877_11	εἰσ
10	urn:cite:fuSyntax:0085003tokens.2896877_10	n-s---ma-	urn:cite:fuSyntax:0085003tokens.2896877_9	οἷμος
11	urn:cite:fuSyntax:0085003tokens.2896877_11	u--------	urn:cite:fuSyntax:0085003tokens.2896877_5	ξομμα1
12	urn:cite:fuSyntax:0085003tokens.2896877_12	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2896877_14	ἄβατοσ
13	urn:cite:fuSyntax:0085003tokens.2896877_13	r--------	urn:cite:fuSyntax:0085003tokens.2896877_11	εἰσ
14	urn:cite:fuSyntax:0085003tokens.2896877_14	n-s---fa-	urn:cite:fuSyntax:0085003tokens.2896877_13	ἐρημία1
15	urn:cite:fuSyntax:0085003tokens.2896877_15	u--------	urn:cite:fuSyntax:0085003tokens.2896877_0	περιοδ1
16	urn:cite:fuSyntax:0085003tokens.2896878_1	n-s---mv-	urn:cite:fuSyntax:0085003tokens.2896878_5	Ἥφαιστοσ
17	urn:cite:fuSyntax:0085003tokens.2896878_2	u--------	urn:cite:fuSyntax:0085003tokens.2896878_1	ξομμα1
18	urn:cite:fuSyntax:0085003tokens.2896878_3	p-s---md-	urn:cite:fuSyntax:0085003tokens.2896878_6	σύ1
19	urn:cite:fuSyntax:0085003tokens.2896878_4	g--------	urn:cite:fuSyntax:0085003tokens.2896878_5	δέ1
20	urn:cite:fuSyntax:0085003tokens.2896878_5	v3spia---	urn:cite:fuSyntax:0085003tokens.2896878_0	χρή1
21	urn:cite:fuSyntax:0085003tokens.2896878_6	v--pna---	urn:cite:fuSyntax:0085003tokens.2896878_5	μέλω1
22	urn:cite:fuSyntax:0085003tokens.2896878_7	n-p---fa-	urn:cite:fuSyntax:0085003tokens.2896878_6	ἐπιστολή1
23	urn:cite:fuSyntax:0085003tokens.2896878_8	p-p---fa-	urn:cite:fuSyntax:0085003tokens.2896878_11	ὅσ
24	urn:cite:fuSyntax:0085003tokens.2896878_9	p-s---md-	urn:cite:fuSyntax:0085003tokens.2896878_11	σύ1
25	urn:cite:fuSyntax:0085003tokens.2896878_10	n-s---mn-	urn:cite:fuSyntax:0085003tokens.2896878_11	πατήρ1
26	urn:cite:fuSyntax:0085003tokens.2896878_11	v3saim---	urn:cite:fuSyntax:0085003tokens.2896878_7	ἐφίημι1
27	urn:cite:fuSyntax:0085003tokens.2896878_12	u--------	urn:cite:fuSyntax:0085003tokens.2896878_19	ξομμα1
28	urn:cite:fuSyntax:0085003tokens.2896878_13	p-s---ma-	urn:cite:fuSyntax:0085003tokens.2896878_18	ὅδε1
29	urn:cite:fuSyntax:0085003tokens.2896878_14	r--------	urn:cite:fuSyntax:0085003tokens.2896878_19	πρόσ
30	urn:cite:fuSyntax:0085003tokens.2896878_15	n-p---fd-	urn:cite:fuSyntax:0085003tokens.2896878_14	πέτρα1
31	urn:cite:fuSyntax:0085003tokens.2896878_16	a-p---fd-	urn:cite:fuSyntax:0085003tokens.2896878_15	ὑψηλόκρημνοσ
32	urn:cite:fuSyntax:0085003tokens.2896878_17	l-s---ma-	urn:cite:fuSyntax:0085003tokens.2896878_18	ὁ1
33	urn:cite:fuSyntax:0085003tokens.2896878_18	a-s---fa-	urn:cite:fuSyntax:0085003tokens.2896878_19	λεωργόσ
34	urn:cite:fuSyntax:0085003tokens.2896878_19	v--ana---	urn:cite:fuSyntax:0085003tokens.2896878_7	ὀχμάζω1
35	urn:cite:fuSyntax:0085003tokens.2896878_20	a-p---mg-	urn:cite:fuSyntax:0085003tokens.2896878_21	ἀδαμάντινοσ
36	urn:cite:fuSyntax:0085003tokens.2896878_21	n-p---mg-	urn:cite:fuSyntax:0085003tokens.2896878_24	δεσμόσ
37	urn:cite:fuSyntax:0085003tokens.2896878_22	r--------	urn:cite:fuSyntax:0085003tokens.2896878_19	ἐν1
38	urn:cite:fuSyntax:0085003tokens.2896878_23	a-p---fd-	urn:cite:fuSyntax:0085003tokens.2896878_24	ἄρρηκτοσ
39	urn:cite:fuSyntax:0085003tokens.2896878_24	n-p---fd-	urn:cite:fuSyntax:0085003tokens.2896878_22	πέδη1
40	urn:cite:fuSyntax:0085003tokens.2896878_25	u--------	urn:cite:fuSyntax:0085003tokens.2896878_0	περιοδ1
41	urn:cite:fuSyntax:0085003tokens.2896879_1	l-s---na-	urn:cite:fuSyntax:0085003tokens.2896879_4	ὁ1
42	urn:cite:fuSyntax:0085003tokens.2896879_2	a-s---na-	urn:cite:fuSyntax:0085003tokens.2896879_4	σόσ
43	urn:cite:fuSyntax:0085003tokens.2896879_3	g--------	urn:cite:fuSyntax:0085003tokens.2896879_12	γάρ1
44	urn:cite:fuSyntax:0085003tokens.2896879_4	n-s---na-	urn:cite:fuSyntax:0085003tokens.2896879_5	ἄνθοσ
45	urn:cite:fuSyntax:0085003tokens.2896879_5	u--------	urn:cite:fuSyntax:0085003tokens.2896879_12	ξομμα1
46	urn:cite:fuSyntax:0085003tokens.2896879_6	a-s---ng-	urn:cite:fuSyntax:0085003tokens.2896879_7	πάντεχνοσ
47	urn:cite:fuSyntax:0085003tokens.2896879_7	n-s---ng-	urn:cite:fuSyntax:0085003tokens.2896879_8	πῦρ1
