TOKENURN	HEAD
urn:cite:fuSyntax:0085003tokens.2896877_1	urn:cite:fuSyntax:0085003tokens.2896877_6
urn:cite:fuSyntax:0085003tokens.2896877_2	urn:cite:fuSyntax:0085003tokens.2896877_5
urn:cite:fuSyntax:0085003tokens.2896877_3	urn:cite:fuSyntax:0085003tokens.2896877_11
urn:cite:fuSyntax:0085003tokens.2896877_4	urn:cite:fuSyntax:0085003tokens.2896877_6
urn:cite:fuSyntax:0085003tokens.2896877_5	urn:cite:fuSyntax:0085003tokens.2896877_0
urn:cite:fuSyntax:0085003tokens.2896877_6	urn:cite:fuSyntax:0085003tokens.2896877_3
urn:cite:fuSyntax:0085003tokens.2896877_7	urn:cite:fuSyntax:0085003tokens.2896877_11
urn:cite:fuSyntax:0085003tokens.2896877_8	urn:cite:fuSyntax:0085003tokens.2896877_10
urn:cite:fuSyntax:0085003tokens.2896877_9	urn:cite:fuSyntax:0085003tokens.2896877_11
urn:cite:fuSyntax:0085003tokens.2896877_10	urn:cite:fuSyntax:0085003tokens.2896877_9
urn:cite:fuSyntax:0085003tokens.2896877_11	urn:cite:fuSyntax:0085003tokens.2896877_5
urn:cite:fuSyntax:0085003tokens.2896877_12	urn:cite:fuSyntax:0085003tokens.2896877_14
urn:cite:fuSyntax:0085003tokens.2896877_13	urn:cite:fuSyntax:0085003tokens.2896877_11
urn:cite:fuSyntax:0085003tokens.2896877_14	urn:cite:fuSyntax:0085003tokens.2896877_13
urn:cite:fuSyntax:0085003tokens.2896877_15	urn:cite:fuSyntax:0085003tokens.2896877_0
urn:cite:fuSyntax:0085003tokens.2896878_1	urn:cite:fuSyntax:0085003tokens.2896878_5
urn:cite:fuSyntax:0085003tokens.2896878_2	urn:cite:fuSyntax:0085003tokens.2896878_1
urn:cite:fuSyntax:0085003tokens.2896878_3	urn:cite:fuSyntax:0085003tokens.2896878_6
urn:cite:fuSyntax:0085003tokens.2896878_4	urn:cite:fuSyntax:0085003tokens.2896878_5
urn:cite:fuSyntax:0085003tokens.2896878_5	urn:cite:fuSyntax:0085003tokens.2896878_0
urn:cite:fuSyntax:0085003tokens.2896878_6	urn:cite:fuSyntax:0085003tokens.2896878_5
urn:cite:fuSyntax:0085003tokens.2896878_7	urn:cite:fuSyntax:0085003tokens.2896878_6
urn:cite:fuSyntax:0085003tokens.2896878_8	urn:cite:fuSyntax:0085003tokens.2896878_11
urn:cite:fuSyntax:0085003tokens.2896878_9	urn:cite:fuSyntax:0085003tokens.2896878_11
urn:cite:fuSyntax:0085003tokens.2896878_10	urn:cite:fuSyntax:0085003tokens.2896878_11
urn:cite:fuSyntax:0085003tokens.2896878_11	urn:cite:fuSyntax:0085003tokens.2896878_7
urn:cite:fuSyntax:0085003tokens.2896878_12	urn:cite:fuSyntax:0085003tokens.2896878_19
urn:cite:fuSyntax:0085003tokens.2896878_13	urn:cite:fuSyntax:0085003tokens.2896878_18
urn:cite:fuSyntax:0085003tokens.2896878_14	urn:cite:fuSyntax:0085003tokens.2896878_19
urn:cite:fuSyntax:0085003tokens.2896878_15	urn:cite:fuSyntax:0085003tokens.2896878_14
urn:cite:fuSyntax:0085003tokens.2896878_16	urn:cite:fuSyntax:0085003tokens.2896878_15
urn:cite:fuSyntax:0085003tokens.2896878_17	urn:cite:fuSyntax:0085003tokens.2896878_18
urn:cite:fuSyntax:0085003tokens.2896878_18	urn:cite:fuSyntax:0085003tokens.2896878_19
urn:cite:fuSyntax:0085003tokens.2896878_19	urn:cite:fuSyntax:0085003tokens.2896878_7
urn:cite:fuSyntax:0085003tokens.2896878_20	urn:cite:fuSyntax:0085003tokens.2896878_21
urn:cite:fuSyntax:0085003tokens.2896878_21	urn:cite:fuSyntax:0085003tokens.2896878_24
urn:cite:fuSyntax:0085003tokens.2896878_22	urn:cite:fuSyntax:0085003tokens.2896878_19
urn:cite:fuSyntax:0085003tokens.2896878_23	urn:cite:fuSyntax:0085003tokens.2896878_24
urn:cite:fuSyntax:0085003tokens.2896878_24	urn:cite:fuSyntax:0085003tokens.2896878_22
urn:cite:fuSyntax:0085003tokens.2896878_25	urn:cite:fuSyntax:0085003tokens.2896878_0
urn:cite:fuSyntax:0085003tokens.2896879_1	urn:cite:fuSyntax:0085003tokens.2896879_4
urn:cite:fuSyntax:0085003tokens.2896879_2	urn:cite:fuSyntax:0085003tokens.2896879_4
urn:cite:fuSyntax:0085003tokens.2896879_3	urn:cite:fuSyntax:0085003tokens.2896879_12
urn:cite:fuSyntax:0085003tokens.2896879_4	urn:cite:fuSyntax:0085003tokens.2896879_5
urn:cite:fuSyntax:0085003tokens.2896879_5	urn:cite:fuSyntax:0085003tokens.2896879_12
urn:cite:fuSyntax:0085003tokens.2896879_6	urn:cite:fuSyntax:0085003tokens.2896879_7
urn:cite:fuSyntax:0085003tokens.2896879_7	urn:cite:fuSyntax:0085003tokens.2896879_8
urn:cite:fuSyntax:0085003tokens.2896879_8	urn:cite:fuSyntax:0085003tokens.2896879_5
urn:cite:fuSyntax:0085003tokens.2896879_9	urn:cite:fuSyntax:0085003tokens.2896879_5
urn:cite:fuSyntax:0085003tokens.2896879_10	urn:cite:fuSyntax:0085003tokens.2896879_12
urn:cite:fuSyntax:0085003tokens.2896879_11	urn:cite:fuSyntax:0085003tokens.2896879_12
urn:cite:fuSyntax:0085003tokens.2896879_12	urn:cite:fuSyntax:0085003tokens.2896879_0
urn:cite:fuSyntax:0085003tokens.2896879_13	urn:cite:fuSyntax:0085003tokens.2896879_0
urn:cite:fuSyntax:0085003tokens.2896880_1	urn:cite:fuSyntax:0085003tokens.2896880_3
urn:cite:fuSyntax:0085003tokens.2896880_2	urn:cite:fuSyntax:0085003tokens.2896880_1
